Hersteller_name;Hersteller_typ_typ;Hersteller_typ_A2;Hersteller_typ_A7;Hersteller_typ_ErP;Hersteller_typ_Tag;Hersteller_typ_Nacht
alpha innotec c/o ait-Schweiz AG;alpha innotec, KHZ-LW 60 400;6.2;4.7;47;47;47
alpha innotec c/o ait-Schweiz AG;alpha innotec, KHZ-LW 80 400;8;6.1;47;47;47
alpha innotec c/o ait-Schweiz AG;alpha innotec, KHZ-LW60 300;6.2;4.7;47;47;47
alpha innotec c/o ait-Schweiz AG;alpha innotec, L12 Split;8.3;7.5;58;65.5;61
alpha innotec c/o ait-Schweiz AG;alpha innotec, L16 Split;10.8;10.1;58;71.5;67
alpha innotec c/o ait-Schweiz AG;alpha innotec, L8 Split;5.7;5.2;55;64;60
alpha innotec c/o ait-Schweiz AG;alpha innotec, LW 101;9.5;7.5;55;55;55
alpha innotec c/o ait-Schweiz AG;alpha innotec, LW 101 A;9.5;7.5;58;58;58
alpha innotec c/o ait-Schweiz AG;alpha innotec, LW 121;11.8;9.1;55;55;55
alpha innotec c/o ait-Schweiz AG;alpha innotec, LW 121 A;11.8;9.1;61;61;61
alpha innotec c/o ait-Schweiz AG;alpha innotec, LW 140;13.8;10.8;56;56;56
alpha innotec c/o ait-Schweiz AG;alpha innotec, LW 140 A;13.8;10.8;58;58;58
alpha innotec c/o ait-Schweiz AG;alpha innotec, LW 140 A/RX;13.8;10.8;64;64;64
alpha innotec c/o ait-Schweiz AG;alpha innotec, LW 150;15.3;12.5;51;51;51
alpha innotec c/o ait-Schweiz AG;alpha innotec, LW 160 H /V;14.2;13.9;40;57;57
alpha innotec c/o ait-Schweiz AG;alpha innotec, LW 180;17.2;14.1;54;57;57
alpha innotec c/o ait-Schweiz AG;alpha innotec, LW 180 A;17.2;14.1;57;60;60
alpha innotec c/o ait-Schweiz AG;alpha innotec, LW 180 H;17.5;14.8;57;57;57
alpha innotec c/o ait-Schweiz AG;alpha innotec, LW 180 HA;17.5;14.8;61;61;61
alpha innotec c/o ait-Schweiz AG;alpha innotec, LW 251;24;19.4;55;58;58
alpha innotec c/o ait-Schweiz AG;alpha innotec, LW 251 A;24;19.4;62;65;65
alpha innotec c/o ait-Schweiz AG;alpha innotec, LW 310;31;25;55;58;58
alpha innotec c/o ait-Schweiz AG;alpha innotec, LW 310A;31;25;64;67;67
alpha innotec c/o ait-Schweiz AG;alpha innotec, LW 380;38;31;58;58;58
alpha innotec c/o ait-Schweiz AG;alpha innotec, LW 71A;7.2;5.7;58;58;58
alpha innotec c/o ait-Schweiz AG;alpha innotec, LW 81A;8.4;6.6;58;58;58
alpha innotec c/o ait-Schweiz AG;alpha innotec, LW 90A RX;9.4;7.2;63;63;63
alpha innotec c/o ait-Schweiz AG;alpha innotec, LW160 HA/V;14.2;13.9;42;60;60
alpha innotec c/o ait-Schweiz AG;alpha innotec, LWAV 122R3;10.3;8.5;58;58;53
